A 360x11511  B 360x11512  → compare 360x11511, height delta -1px
differing pixels: 73701 / 4143960 = 1.78%  (threshold 10%) → PASS
diff image: stardust/replica/gates/index-360/diff-iter1.png
  y      0–500: 2.9%
  y    500–1000: 6.1%
  y   1000–1500: 0.0%
  y   1500–2000: 2.1%
  y   2000–2500: 0.0%
  y   2500–3000: 1.0%
  y   3000–3500: 0.0%
  y   3500–4000: 0.8%
  y   4000–4500: 2.6%
  y   4500–5000: 1.0%
  y   5000–5500: 2.2%
  y   5500–6000: 0.8%
  y   6000–6500: 1.7%
  y   6500–7000: 0.1%
  y   7000–7500: 1.3%
  y   7500–8000: 0.2%
  y   8000–8500: 1.7%
  y   8500–9000: 2.9%
  y   9000–9500: 0.0%
  y   9500–10000: 2.4%
  y  10000–10500: 1.2%
  y  10500–11000: 2.2%
  y  11000–11500: 7.8%
  y  11500–11511: 0.0%
