A 360x38808  B 360x37132  → compare 360x37132, height delta 1676px
  ⚠ height delta 1676px — overlap-crop hides the tail; fix heights before trusting the %
differing pixels: 1575962 / 13367520 = 11.79%  (threshold 10%) → FAIL
diff image: stardust/replica/gates/published-utility-360/diff2.png
  y      0–500: 1.1%
  y    500–1000: 1.9%
  y   1000–1500: 0.3%
  y   1500–2000: 0.8%
  y   2000–2500: 0.2%
  y   2500–3000: 1.5%
  y   3000–3500: 1.4%
  y   3500–4000: 12.5%
  y   4000–4500: 12.4%
  y   4500–5000: 11.8%
  y   5000–5500: 13.1%
  y   5500–6000: 11.8%
  y   6000–6500: 12.9%
  y   6500–7000: 11.2%
  y   7000–7500: 12.6%
  y   7500–8000: 12.8%
  y   8000–8500: 12.8%
  y   8500–9000: 14.1%
  y   9000–9500: 11.6%
  y   9500–10000: 12.0%
  y  10000–10500: 12.5%
  y  10500–11000: 10.6%
  y  11000–11500: 12.0%
  y  11500–12000: 11.2%
  y  12000–12500: 9.8%
  y  12500–13000: 12.4%
  y  13000–13500: 12.0%
  y  13500–14000: 10.4%
  y  14000–14500: 11.7%
  y  14500–15000: 10.7%
